Sample	SampleID	Sampletype	Summer	Year	Date sampling	Site	Lat_S	Long_W	Depth (m)	Genus	Samples_name	Samples_names	label
SW1-3	SW18.1	seawater	2018	2018	2018-12-06T00:00:00Z	Islote Vasquez	62°2943,1	59°4103.6	16	seawater	seawater	seawater	SW.1_2018
SW1-20	SW18.1	seawater	2018	2018	2018-12-06T00:00:00Z	Islote Vasquez	62°2943,1	59°4103.6	16	seawater	seawater	seawater	SW.1_2018
SW3-0.2	SW18.2	seawater	2018	2018	2018-12-11T00:00:00Z	Islote Vasquez	62°2942,5	59°4101.5	14	seawater	seawater	seawater	SW.2_2018
SW3-3	SW18.2	seawater	2018	2018	2018-12-11T00:00:00Z	Islote Vasquez	62°2942,5	59°4101.5	14	seawater	seawater	seawater	SW.2_2018
SW3-20	SW18.2	seawater	2018	2018	2018-12-11T00:00:00Z	Islote Vasquez	62°2942,5	59°4101.5	14	seawater	seawater	seawater	SW.2_2018
SW6-0.2	SW19.1	seawater	2019	2019	2019-11-30T00:00:00Z	SE3	62°2924.8	59°4008.4	10	seawater	seawater	seawater	SW.1_2019
SW6-3	SW19.1	seawater	2019	2019	2019-11-30T00:00:00Z	SE3	62°2924.8	59°4008.4	10	seawater	seawater	seawater	SW.1_2019
SW7-0.2	SW19.2	seawater	2019	2019	2019-12-03T00:00:00Z	SE5	62°2947,8	59°4320.5	8	seawater	seawater	seawater	SW.2_2019
SW7-3	SW19.2	seawater	2019	2019	2019-12-03T00:00:00Z	SE5	62°2947,8	59°4320.5	8	seawater	seawater	seawater	SW.2_2019
SW7-20	SW19.2	seawater	2019	2019	2019-12-03T00:00:00Z	SE5	62°2947,8	59°4320.5	8	seawater	seawater	seawater	SW.2_2019
SW8-0.2	SW19.3	seawater	2019	2019	2019-12-04T00:00:00Z	SE3	62°2924.8	59°4008.4	10	seawater	seawater	seawater	SW.3_2019
SW8-3	SW19.3	seawater	2019	2019	2019-12-04T00:00:00Z	SE3	62°2924.8	59°4008.4	10	seawater	seawater	seawater	SW.3_2019
SW8-20	SW19.3	seawater	2019	2019	2019-12-04T00:00:00Z	SE3	62°2924.8	59°4008.4	10	seawater	seawater	seawater	SW.3_2019
SW13-0.2	SW20.1	seawater	2019	2020	2020-02-25T00:00:00Z	SE2	62°2923.7	59°4005.5	13	seawater	seawater	seawater	SW.4_2019
SW13-3	SW20.1	seawater	2019	2020	2020-02-25T00:00:00Z	SE2	62°2923.7	59°4005.5	13	seawater	seawater	seawater	SW.4_2019
SW13-20	SW20.1	seawater	2019	2020	2020-02-25T00:00:00Z	SE2	62°2923.7	59°4005.5	13	seawater	seawater	seawater	SW.4_2019
SW14-0.2	SW20.2	seawater	2019	2020	2020-02-28T00:00:00Z	SE2	60°2925.1	59°4006.8	13	seawater	seawater	seawater	SW.5_2019
SW14-3	SW20.2	seawater	2019	2020	2020-02-28T00:00:00Z	SE2	60°2925.1	59°4006.8	13	seawater	seawater	seawater	SW.5_2019
SW16-0.2	SW20.3	seawater	2019	2020	2020-03-03T00:00:00Z	SE2	60°2925.1	59°4006.8	12	seawater	seawater	seawater	SW.6_2019
SW16-3	SW20.3	seawater	2019	2020	2020-03-03T00:00:00Z	SE2	60°2925.1	59°4006.8	12	seawater	seawater	seawater	SW.6_2019
SW16-20	SW20.3	seawater	2019	2020	2020-03-03T00:00:00Z	SE2	60°2925.1	59°4006.8	12	seawater	seawater	seawater	SW.6_2019
SW21-0.2	SW21.1	seawater	2020	2021	2021-01-05T00:00:00Z	SE2	60°2924.5	59°4007.3	12	seawater	seawater	seawater	SW.1_2020
SW21-3	SW21.1	seawater	2020	2021	2021-01-05T00:00:00Z	SE2	60°2924.5	59°4007.3	12	seawater	seawater	seawater	SW.1_2020
SW22-0.2	SW21.2	seawater	2020	2021	2021-01-12T00:00:00Z	SE2	60°2925.1	59°4006.8	10	seawater	seawater	seawater	SW.2_2020
SW22-3	SW21.2	seawater	2020	2021	2021-01-12T00:00:00Z	SE2	60°2925.1	59°4006.8	10	seawater	seawater	seawater	SW.2_2020
SW23-0.2	SW21.3	seawater	2020	2021	2021-01-18T00:00:00Z	SE2	60°2924.5	59°4007.3	12	seawater	seawater	seawater	SW.3_2020
SW23-3	SW21.3	seawater	2020	2021	2021-01-18T00:00:00Z	SE2	60°2924.5	59°4007.3	12	seawater	seawater	seawater	SW.3_2020
SW23-20	SW21.3	seawater	2020	2021	2021-01-18T00:00:00Z	SE2	60°2924.5	59°4007.3	12	seawater	seawater	seawater	SW.3_2020
SW24-0.2	SW21.4	seawater	2020	2021	2021-01-28T00:00:00Z	SE2	60°2925.1	59°4006.8	11	seawater	seawater	seawater	SW.4_2020
SW24-3	SW21.4	seawater	2020	2021	2021-01-28T00:00:00Z	SE2	60°2925.1	59°4006.8	11	seawater	seawater	seawater	SW.4_2020
SW24-20	SW21.4	seawater	2020	2021	2021-01-28T00:00:00Z	SE2	60°2925.1	59°4006.8	11	seawater	seawater	seawater	SW.4_2020
SW26-3	SW21.5	seawater	2021	2021	2021-12-12T00:00:00Z	SE2	60°2925.1	59°4006.8	dic-13	seawater	seawater	seawater	SW.1_2021
SW26-20	SW21.5	seawater	2021	2021	2021-12-12T00:00:00Z	SE2	60°2925.1	59°4006.8	dic-13	seawater	seawater	seawater	SW.1_2021
SW27-20	SW21.6	seawater	2021	2021	2021-12-16T00:00:00Z	SE2	60°2925.1	59°4006.8	dic-13	seawater	seawater	seawater	SW.2_2021
